"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Teste de Login (sucesso) - Expresso sul","1","0","","0"
"0","","0","Teste de Login (falha) - Cometa","1","0","","0"
"1","","0","Teste de Login (sucesso) - Catarinense","0","0","","0"
"0","","0","Teste de Login (falha) - Expresso sul","1","0","","0"
"0","","0","Teste de Login (falha) - Rápido Ribeirão","1","0","","0"
"0","","0","Teste de Login (sucesso) - Cometa","1","0","","0"
"0","","0","Teste de Login (sucesso) - 1001","1","0","","0"
"0","","0","Teste de Login (falha) - 1001","1","0","","0"
"0","","0","Teste de Login (sucesso) - Rápido Ribeirão","1","0","","0"
"1","","0","Teste de Login (falha) - Catarinense","0","0","","0"
