"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5143","deve permitir que o usuário realize o Login","","Thu May 08 16:28:42 BRT 2025","passed","Thu May 08 16:28:47 BRT 2025","","Teste de Login (sucesso) - Expresso sul","",""
"","20763","não deve permitir login com credenciais inválidas","","Thu May 08 16:28:55 BRT 2025","passed","Thu May 08 16:29:16 BRT 2025","","Teste de Login (falha) - Cometa","",""
"","3083","deve permitir que o usuário realize o Login","","Thu May 08 16:29:41 BRT 2025","broken","Thu May 08 16:29:44 BRT 2025","","Teste de Login (sucesso) - Catarinense","",""
"","30199","não deve permitir login com credenciais inválidas","","Thu May 08 16:28:12 BRT 2025","passed","Thu May 08 16:28:42 BRT 2025","","Teste de Login (falha) - Expresso sul","",""
"","31104","não deve permitir login com credenciais inválidas","","Thu May 08 16:28:12 BRT 2025","passed","Thu May 08 16:28:43 BRT 2025","","Teste de Login (falha) - Rápido Ribeirão","",""
"","5001","deve permitir que o usuário realize o Login","","Thu May 08 16:29:16 BRT 2025","passed","Thu May 08 16:29:21 BRT 2025","","Teste de Login (sucesso) - Cometa","",""
"","4790","deve permitir que o usuário realize o Login","","Thu May 08 16:29:16 BRT 2025","passed","Thu May 08 16:29:20 BRT 2025","","Teste de Login (sucesso) - 1001","",""
"","19623","não deve permitir login com credenciais inválidas","","Thu May 08 16:28:56 BRT 2025","passed","Thu May 08 16:29:16 BRT 2025","","Teste de Login (falha) - 1001","",""
"","5106","deve permitir que o usuário realize o Login","","Thu May 08 16:28:43 BRT 2025","passed","Thu May 08 16:28:48 BRT 2025","","Teste de Login (sucesso) - Rápido Ribeirão","",""
"","36722","não deve permitir login com credenciais inválidas","","Thu May 08 16:29:04 BRT 2025","broken","Thu May 08 16:29:41 BRT 2025","","Teste de Login (falha) - Catarinense","",""
